id,categories
1,MEDICATION RELATED
2,NEW APPOINTMENT
3,MEDICATION RELATED
4,QUERIES FROM PHARMACY
5,MEDICATION RELATED
6,MEDICATION RELATED
7,MEDICATION RELATED
8,NEW APPOINTMENT
9,RESCHEDULING
10,NEW APPOINTMENT
11,NEW APPOINTMENT
12,NEW APPOINTMENT
13,MEDICATION RELATED
14,LAB RESULTS
15,OTHERS
16,REFILL
17,MEDICATION RELATED
18,PROVIDER
19,LAB RESULTS
20,MEDICATION RELATED
21,MEDICATION RELATED
22,MEDICATION RELATED
23,REFILL
24,REFILL
25,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
26,PROVIDER
27,REFILL
28,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
29,PRIOR AUTHORIZATION
30,MEDICATION RELATED
31,OTHERS
32,SYMPTOMS
33,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
34,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
35,OTHERS
36,QUERIES FROM PHARMACY
37,PRIOR AUTHORIZATION
38,NEW APPOINTMENT
39,REFILL
40,OTHERS
41,MEDICATION RELATED
42,LAB RESULTS
43,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
44,MEDICATION RELATED
45,REFILL
46,MEDICATION RELATED
47,NEW APPOINTMENT
48,MEDICATION RELATED
49,NEW APPOINTMENT
50,OTHERS
51,PRIOR AUTHORIZATION
52,MEDICATION RELATED
53,OTHERS
54,REFILL
55,REFILL
56,MEDICATION RELATED
57,NEW APPOINTMENT
58,NEW APPOINTMENT
59,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
60,MEDICATION RELATED
61,NEW APPOINTMENT
62,REFILL
63,OTHERS
64,CHANGE OF PROVIDER
65,REFILL
66,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
67,NEW APPOINTMENT
68,QUERIES FROM PHARMACY
69,MEDICATION RELATED
70,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
71,MEDICATION RELATED
72,RESCHEDULING
73,REFILL
74,REFILL
75,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
76,MEDICATION RELATED
77,NEW APPOINTMENT
78,NEW APPOINTMENT
79,LAB RESULTS
80,NEW APPOINTMENT
81,MEDICATION RELATED
82,QUERIES FROM INSURANCE FIRM
83,MEDICATION RELATED
84,MEDICATION RELATED
85,OTHERS
86,MEDICATION RELATED
87,MEDICATION RELATED
88,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
89,REFILL
90,PROVIDER
91,MEDICATION RELATED
92,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
93,RUNNING LATE TO APPOINTMENT
94,MEDICATION RELATED
95,REFILL
96,NEW APPOINTMENT
97,NEW APPOINTMENT
98,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
99,NEW APPOINTMENT
100,MEDICATION RELATED
101,OTHERS
102,REFILL
103,NEW APPOINTMENT
104,REFILL
105,REFILL
106,REFILL
107,FOLLOW UP ON PREVIOUS REQUEST
108,REFILL
109,PRIOR AUTHORIZATION
110,NEW APPOINTMENT
111,OTHERS
112,NEW APPOINTMENT
113,OTHERS
114,MEDICATION RELATED
115,MEDICATION RELATED
116,QUERIES FROM PHARMACY
117,PRIOR AUTHORIZATION
118,LAB RESULTS
119,NEW APPOINTMENT
120,PRIOR AUTHORIZATION
121,NEW APPOINTMENT
122,OTHERS
123,MEDICATION RELATED
124,NEW APPOINTMENT
125,NEW APPOINTMENT
126,NEW APPOINTMENT
127,LAB RESULTS
128,NEW APPOINTMENT
129,MEDICATION RELATED
130,REFILL
131,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
132,NEW APPOINTMENT
133,NEW APPOINTMENT
134,CHANGE OF PROVIDER
135,REFILL
136,NEW APPOINTMENT
137,OTHERS
138,RUNNING LATE TO APPOINTMENT
139,CHANGE OF PROVIDER
140,REFILL
141,NEW APPOINTMENT
142,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
143,MEDICATION RELATED
144,MEDICATION RELATED
145,QUERIES FROM PHARMACY
146,REFILL
147,NEW APPOINTMENT
148,QUERIES FROM PHARMACY
149,RUNNING LATE TO APPOINTMENT
150,OTHERS
151,OTHERS
152,OTHERS
153,REFILL
154,QUERIES FROM PHARMACY
155,MEDICATION RELATED
156,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
157,REFILL
158,REFILL
159,MEDICATION RELATED
160,OTHERS
161,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
162,REFILL
163,NEW APPOINTMENT
164,CHANGE OF PROVIDER
165,CHANGE OF PROVIDER
166,MEDICATION RELATED
167,REFILL
168,MEDICATION RELATED
169,OTHERS
170,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
171,NEW APPOINTMENT
172,MEDICATION RELATED
173,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
174,PROVIDER
175,PROVIDER
176,PROVIDER
177,PRIOR AUTHORIZATION
178,NEW APPOINTMENT
179,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
180,NEW APPOINTMENT
181,NEW APPOINTMENT
182,NEW APPOINTMENT
183,REFILL
184,SYMPTOMS
185,OTHERS
186,MEDICATION RELATED
187,NEW APPOINTMENT
188,OTHERS
189,MEDICATION RELATED
190,MEDICATION RELATED
191,OTHERS
192,NEW APPOINTMENT
193,MEDICATION RELATED
194,MEDICATION RELATED
195,NEW APPOINTMENT
196,MEDICATION RELATED
197,MEDICATION RELATED
198,NEW APPOINTMENT
199,OTHERS
200,PRIOR AUTHORIZATION
201,NEW APPOINTMENT
202,REFILL
203,NEW APPOINTMENT
204,OTHERS
205,MEDICATION RELATED
206,LAB RESULTS
207,REFILL
208,LAB RESULTS
209,MEDICATION RELATED
210,NEW APPOINTMENT
211,REFILL
212,LAB RESULTS
213,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
214,CANCELLATION
215,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
216,REFILL
217,NEW APPOINTMENT
218,REFILL
219,NEW APPOINTMENT
220,LAB RESULTS
221,QUERIES FROM PHARMACY
222,NEW APPOINTMENT
223,REFILL
224,CHANGE OF PROVIDER
225,LAB RESULTS
226,OTHERS
227,"SHARING OF HEALTH RECORDS (FAX, E-MAIL, ETC.)"
228,LAB RESULTS
229,MEDICATION RELATED
230,RESCHEDULING
231,PROVIDER
232,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
233,NEW APPOINTMENT
234,PROVIDER
235,MEDICATION RELATED
236,"SHARING OF LAB RECORDS (FAX, E-MAIL, ETC.)"
237,NEW APPOINTMENT
238,NEW APPOINTMENT
239,REFILL
240,REFILL
241,OTHERS
242,REFILL
243,PRIOR AUTHORIZATION
244,PROVIDER
245,LAB RESULTS
246,REFILL
247,OTHERS
248,MEDICATION RELATED
249,QUERIES FROM PHARMACY
250,OTHERS
251,REFILL
252,REFILL
253,OTHERS
254,NEW APPOINTMENT
255,NEW APPOINTMENT
